Doctor Name,Negative_Reviews,Positive_Reviews,No_of_Negative_Reviews,No_of_Positive_Reviews,Specialty,Gender,No. of Reviews
Dr. Kiarash Mirkia,,"It really is true that knowledge comes from learning and wisdom comes from living. ... Anyone can grow up and become a doctor, read a million books memorize all the ins and outs of the body. However, A true doctor, one that understands what he has learned, is very obvious. 

Many doctors that I have met have are like cookie cutter, copy and paste, repeat after me robots. Not this one. Dr. Mirkia actually listens.. he doesn't just suggest cutting because that's what he specializes in. He actually gets to the root of the ailment the quickest most efficient way possible. 

Dr Mirkia has never told me what I wanted to hear, and doesn't sugar coat things like every other doctor out there. He's fact focused and treatment driven. 

The world would be a healthier place if there were more doctors like him. He is an excellent surgeon. Well trained and compassionate.",,2,General Surgeon, Male,2
Dr. Lawrence M. Lavine,"Very rude unhelpful staff, they do not have the correct information for insurance pre approvals and being in pain management that is a terrible area to lack in",,1,,Anesthesiologist, Male,1
Dr. Lela Demeter,,excellent doctor,,1,Internist / Geriatrician, Female,1
Dr. Lori A. Teverbaugh,"Would give no stars but have to put atleast one. Have been under the care of this office for 3 months and in that time, everything that could go wrong, did go wrong. Office staff made mistake after mistake. Nurses were rude and argued with me when I called to say that I had a drug interaction that caused a serious illness. I was scared because of how sick I was, and I needed advice. Did not get a call back for an entire week, so I decided on my own to quit the medication this office gave me. Entire staff never lets you get through to the doctor herself. Decided to go elsewhere for care, after waiting 6 mo for a surgery with them. Wanted to tell the doctor about the bad way the staff behaves, but they won’t even let me schedule an appointment. Told me I was no longer a patient when I never told THEM that. I did like the doctor herself, but staff is HORRIBLE. I have called this office many times and emailed the staff for a new patient appointment and have never heard back from them. I am pregnant and in search of an OBGYN as my previous doctor has retired since my last annual. I would not recommend anyone trying to contact this practice. Staff was rude, and my appointments are never on time. If you don't want to wait an hour in the waiting room for a 5-min yearly checkup, I would not go to her if I were you. Furthermore, I did not feel as if I got individualized care. The few times I have gone to see Dr. Teverbaugh, I felt as if she wanted me out of the patient room as quick as possible just so she could get another patient in. Very bad experience. Always late must at least 1 hour past appointmet time the longest wait was 2 hour 45 minutes . She does not know what a appointment is . She thinks people have nothing more to do than wait on her. Had a 8:30 appointment and had to wait 1hour and 30 minutes past my time how can you get that far behind in a half hour after you open. Very poor on punctuality . I was going to see a fertility specialist and when I called to make an appointment with Dr.Couri's after I got pregnant I was told they would not see me at all until I stopped seeing the fertility Dr. My fertility Dr says they have had this problem a lot with them. My Fertility specialist office talked to them and I ended up getting an appt in the long run. I am on short term disability and my Fertility dr put on the forms that they were going to release me on the 8th and my appt with Dr. couris was on the 8th so there would be no gap and I wouldn't loose my STD. Well the same day of my appointment with Dr. Couris they call me and say they can't see me because I still have one more appt with my fertility specialist. So I had to frantically find a Dr to get me in to give me a note for my human resources saying I am still on the same restrictions the fertility Dr had me on so I don't loose my STD. So because of Dr. Couri's office I almost lost my STD.","Am glad to have used them. Very helpful and at your service. words cannot express how i feel. I don't know why it took me so long to write this review but am glad i did. I was just recently diagnosed with polycystic ovarian syndrome. Dr. Teverbaugh was caring and very understanding and helpful. She took the time to review the results with me and my mother until every one of our questions were ansered and gave us information about things we never would have even thought to ask. I now live 3 hours away but I still keep her for my yearly checkups. I have also seen some of ehr nurse practicioners and every one of them are fabulous!! Great doctor who is very efficient and caring. She took care of my younger son delivery. Very talented and caring, can't praise enough. mine was a high risk prenancy,tverba took lot of care i can never forget her help,she was there always for me when i needed her,my little angel is one year old now.only thing i dont like is everytime u go some new person will be taking care of you. Dr TEverbaugh is amazing, just saw her for the first time and she was very nice and knowledgeable, I would definetely reccomend her to anyone! I had a good experience with Dr. Teverbaugh. She delivered my 2nd baby and also did a D&C after a miscarriage. I have to say that even at the D&C, Dr. T was caring and sesitive and helped me to get through a difficult experience. Her staff on the other hand it subpar. I always felt like I received the run around when on the phone or trying to get a question answered especially after having a complicated miscarriage. I felt like once I got outside the realm of healthy pregnant girl no one in that offive knew what to do. The way that the staff handled my situation caused me to lose confidence in my care and I actually left the practice. But truly it makes me a little sad because I really thought Dr. Teverbaugh was wonderful but just could not handle dealing with the less that wonderful staff the are her ""door keepers""! While you might wait in the waiting room the pay off is good. When you are in the exam room you feel like her only patient. Of all the doctors I have had she has been the best in any specialty. She listens, is helpful and I feel like I can trust her and bring things up with which I might feel uncomfortable. Dr. Teverbaugh and her staff are very caring and helpful. The entire group is wonderful and caring. They really put the patient first. If you use them, you know you are not just another dollar sign.",5,9,Gynecologist (OBGYN), Female,14
Dr. Louis D Andary JR.,"My son was born with cerebral palsy after he was told time and time again that I was prone to having large babies. During delivery, he said ""if I would have known he was this big, I would have done a ""C"" Section"" ... REALLY, you were my doctor! Now my son is 21 and uses sticks to walk with. He was diagnosed with cerebral palsy, spastic displegia, at the age of 2 1/2. Dr. ANDARY NEVER LISTENS TO HIS PATIENTS ... HE KNOWS IT ALL! My son will live with his mistake for the rest of his life. After having open heart surgery and almost dying. I was put on coumadin (blood thinners) for the rest of my life. When my period resumed it was horrible. I went to see dr. Andary. He offered no solution or help of any form and sent me home. Well after bleeding so profusely my hemoglobbin was at 5. I was told to go to the nearest hospital immdiately. My husband took me to southshore. They gave me a blood transfussion the bleeding stopped. Everyone thought maybe it wouldn't happen again. So any months down the road it happened again except worse. I had given dr. Andary àll my paperwork after my surgery for his records. After 3 visits in 1 month he forgot about my surgery and asked me to sign paperwork that stated I saw no specialist, I see a cardiologist, and another about no medication. Humm coumadin? He did nothing! I was passing clots the size of oranges, when I would stand up I would flood the floor with blood. Again, I was told to go to nearest e.r by his answering service. Hospital could not get in touch with him. My hemoglobbin was dropping as I sat in the e.r. well finally we had an oblation schedule to help resolve this. He came to my bed in the prep area before surgery. Told me I continued to go to southshore, I needed a new doctor. Was a completely insensitive donkey. Well yesterday I saw him in southshore hospital. Looked like he was working. I was very upset after the way he talked to me and treated me. My son was born with cerebral palsy after he was told time and time again that I was prone to having large babies. During delivery, he said ""if I would have known he was this big, I would have done a ""C"" Section"" ... REALLY, you were my doctor! Now my son is 21 and uses sticks to walk with. He was diagnosed with cerebral palsy, spastic displegia, at the age of 2 1/2. Dr. ANDARY NEVER LISTENS TO HIS PATIENTS ... HE KNOWS IT ALL! My son will live with his mistake for the rest of his life. After having open heart surgery and almost dying. I was put on coumadin (blood thinners) for the rest of my life. When my period resumed it was horrible. I went to see dr. Andary. He offered no solution or help of any form and sent me home. Well after bleeding so profusely my hemoglobbin was at 5. I was told to go to the nearest hospital immdiately. My husband took me to southshore. They gave me a blood transfussion the bleeding stopped. Everyone thought maybe it wouldn't happen again. So any months down the road it happened again except worse. I had given dr. Andary àll my paperwork after my surgery for his records. After 3 visits in 1 month he forgot about my surgery and asked me to sign paperwork that stated I saw no specialist, I see a cardiologist, and another about no medication. Humm coumadin? He did nothing! I was passing clots the size of oranges, when I would stand up I would flood the floor with blood. Again, I was told to go to nearest e.r by his answering service. Hospital could not get in touch with him. My hemoglobbin was dropping as I sat in the e.r. well finally we had an oblation schedule to help resolve this. He came to my bed in the prep area before surgery. Told me I continued to go to southshore, I needed a new doctor. Was a completely insensitive donkey. Well yesterday I saw him in southshore hospital. Looked like he was working. I was very upset after the way he talked to me and treated me.","Dr Andary was absolutely excellent. Great bedside manner & perfect staff. Would highly recommend Dr Andary was my OB for my 4 children. With the first 3, he was great. #4 was a nightmare. My last 2 babies were born quickly, w/o meds. #4 would have been just as smooth, but even though I arrived at an 8 and hadn't been there long, It wasn't fast enough for Dr A. He reached up inside and was trying to stretch me out, while demanding I push. No, I wasn't at a 10 and yes, the baby was fine. The only reason I can think for his rush, was his warm bed. I tried to push at first, but, as most women who have had a baby know, it's pretty futile until you're fully dialated and your BODY, not the dr, tells you to push. He even made a rude comment about having to wait on me. Yes! That's your job! Just when I got my thoughts together enough to tell him to keep his *%# hand out of me, the urge came, and she was born. It's been over a year and I'm still tearing up about it. He was not a good dr when it mattered. Medically knowledgable, yes. But he clearly lacks understanding. Great bed side manner, very knowledgeable, I've been going to Dr. Andary for 12 years and I wouldnt recommend anyone else. Was very compassionate. Listened to my problems and gave me several treatment options. If he did not have an answer for me he would tell me and then would give me the names of people he thought might help. He was very highly regarded by employees that I met while I was at Oakwood Hospital. I have recommended him to all my friends! Dr Andary has been my doctor for 22yrs. He's a very compassionate,warm doctor.I always receive a hug from him. He's never rushed and makes you feel relaxed. I recommend him to any woman looking for a ob/gyn. Dr Andary is one of the best! Absolutely wonderful. Never feel rushed. Takes the time to thoroughly answer any and all questions. Very professional and made me feel comfortable from the very first time I met him. I, like most women, was leary of having a male OB/GYN. Several of the women in my family have been going to him for years and at their request I began seeing him a few years ago. He is absolutely the most wonderful doctor of any kind that I have had. I reccomend him to any woman that askes who my doctor is. I just wish he could practice all areas of medicine. I can't say a bad word about him. I would also like to say that his entire staff is also wonderful, especially at the front desk. Dr Andary was absolutely excellent. Great bedside manner & perfect staff. Would highly recommend Dr Andary was my OB for my 4 children. With the first 3, he was great. #4 was a nightmare. My last 2 babies were born quickly, w/o meds. #4 would have been just as smooth, but even though I arrived at an 8 and hadn't been there long, It wasn't fast enough for Dr A. He reached up inside and was trying to stretch me out, while demanding I push. No, I wasn't at a 10 and yes, the baby was fine. The only reason I can think for his rush, was his warm bed. I tried to push at first, but, as most women who have had a baby know, it's pretty futile until you're fully dialated and your BODY, not the dr, tells you to push. He even made a rude comment about having to wait on me. Yes! That's your job! Just when I got my thoughts together enough to tell him to keep his *%# hand out of me, the urge came, and she was born. It's been over a year and I'm still tearing up about it. He was not a good dr when it mattered. Medically knowledgable, yes. But he clearly lacks understanding. Great bed side manner, very knowledgeable, I've been going to Dr. Andary for 12 years and I wouldnt recommend anyone else. Was very compassionate. Listened to my problems and gave me several treatment options. If he did not have an answer for me he would tell me and then would give me the names of people he thought might help. He was very highly regarded by employees that I met while I was at Oakwood Hospital. I have recommended him to all my friends! Dr Andary has been my doctor for 22yrs. He's a very compassionate,warm doctor.I always receive a hug from him. He's never rushed and makes you feel relaxed. I recommend him to any woman looking for a ob/gyn. Dr Andary is one of the best! Absolutely wonderful. Never feel rushed. Takes the time to thoroughly answer any and all questions. Very professional and made me feel comfortable from the very first time I met him. I, like most women, was leary of having a male OB/GYN. Several of the women in my family have been going to him for years and at their request I began seeing him a few years ago. He is absolutely the most wonderful doctor of any kind that I have had. I reccomend him to any woman that askes who my doctor is. I just wish he could practice all areas of medicine. I can't say a bad word about him. I would also like to say that his entire staff is also wonderful, especially at the front desk.",4,14,Gynecologist (OBGYN), Male,9
Dr. Mac H. Scott,"Horrible! Let me first state that I was going to this doctor for several years, 5 to be exact. Everything always went smoothly while I was there. He always seemed over worked and cold, but he was professional and answered your questions and concerns. Last year I had a procedure done and was left with third degree burns in my vaginal area. He claimed the machine got “stuck”. I was in so much pain I needed to go to the Emergency Room, and they were shocked at the damage done to my skin. It was so bad that they had several burn specialists rounding to my room to look at what was going on. I was humiliated. He didn’t even apologize, he told me I would be okay. The ER ended up giving me medications and antibiotics commonly used for severely burned victims. Very expensive, lawyers will be in contact!!!!!",,1,,Gynecologist (OBGYN), Male,2
Dr. Madhu A. Subnani,"Horrible stomach still deformed after liposuction! This is the dirtiest , filthiest nastiest office I have ever been to. This dr. Had no recollection of who I was 2 days later and actually gave me examples of myself as another patient. Her office, her instruments and everything there is a huge health risk. She is going to kill someone. Do not risk your life by going into this office. This is not an exaggeration. She is certified in family medicine and yet proclaims to be well versed as a plastic surgeon by doing procedures that she has very little if any training for. The only thing this doctor is concerned about is money. The board of health needs to visit her offices. She has no moral compass or boundaries. It is unfortunate considering she actually was a very nice lady. She needs additional training on the important health risks of contamination. She actually puts these unsterile instruments inside of people. Shame on her. This is a hard time financially for everyone but she needs to get her priorities straight. Never once have I been so disgusted and hurt by the unprofessionalism and lack of concern a doctor has shown after unsuccessfully preform a procedure in my life. Doctor Subnani left me scarred severally after completing a cellulite treatment on my legs, and although I knew going in that my procedure would never show 100 percent results, I never imagined paying almost 10 thousand and seeing no results. After my follow up conceltation with Subnani, she appeared knowledgable of the fact that my procedure did not work and offered to touch up on it in hopes of seeing better results. The thought was reasurring but trying to get a hold of Subnani after that point was impossible and resulted in seeing nothing but hatred from Subnani and getting cussed at by her husband. Do your research before committing to big procedure with a doctor because the end results might just leave you in a worse position than before. I went to the Dr. for weight loss. She is a proponent of the HCG diet plan but I do not feel that she adequately explains the proper protocol for this diet, making it necessary to do your own research. I also feel that she is very overpriced and lacks bedside manner. I would not recommend this practice. Her office and her staff are very unprofessional. The lobby is unkept with dirty floors and wallpaper peeling off the wall. The office has files hanging out and paper work all over the place. The office staff act like they don't know what to do or who to call when a referral is needed and they do not return phone calls. DR. RUSHES THROUGH APPT. WITH OUT LISTENING TO YOU AND GIVES ANTIBIOTICS FOR EVERYTHING. SHE ALSO GAVE MY KIDS FLU SHOTS IN MAY. IS THIS FLU SEASON? SHE IS NOT VERY FRIENDLY AND YOU CAN NOT UNDERSTAND HER. HER STAFF IS UNRELIABLE AND RUDE. DON'T EXPECT A CALL BACK IF YOU LEAVE A MESSAGE FOR THE DR. THE BILLING DEPARTMENT OR THE OFFICE MANAGER (WHO IS BY THE WAY DR. SUBNANI'S HUSBAND)","This is the best Dr. In the country! She is amazing!! She was very helpful and her office is beautiful! I'm amazed by my liposuction results!! Dr. Subnani is very helpful. She was offering a great deal and was very professional and answered all of my questions. Her office in imlay city is disgusting.. everything and everyone is filthy.. they were always way overbooked you could sit here for an hour easy after your scheduled appointment time.. was new to the area and she was the first Dr I called that was accepting new patients, huge mistake.. DONT GO HERE.. She was amazing! Made me look incredible! Very sweet! Love my results Awful! I have never been to a dirty fiflthy doctors office. The staff was poorly dressed as far as professionalism. Dr subnani did not even a dress my medical concerns appropriately. She said for my back I needed physical therapy,which was true. But what I didn't expect was that their definition of physical therapy was the front desk receptionist hooking me up to a tens unit for an hour!! That will be the last time I ever walk thru those doors!! Do not go here I went to Dr. Subnani for her weight loss program and was very satisfied. I did her program twice while taking a break in between each time. I was able to lose 30 pounds in total, which is more than what I expected. She was willling to meet with me as often as I needed to monitor me. I would certainly recommend her weight loss progrma. I was concerned to go to Dr. Subnani after reading some of the reviews below, but I decided to go forward with getting treatment from her done because she was offering such a good price on her services. Her office was clean and she answered all of my questions clearly. I was happy with my results as I mentioned and have recommended her to my friends. Dr. Subnani is a great doctor and is knowledgeable. I got liposuction done from her and the results were very good- I lost 7 inches off of my stomach. Dr. Madhu Subnani is now working in Chicagoland area but I strongly doubt that she has the license to work in the state of Illinois. I just had a free consultation on November 10, 2013. This doctor ought to be ASHAMED with the poor and shabby conditions of her office but she is not. Dr. Subnani is NOT a board certified plastic surgeon but claims she has done liposuction for 15 years. She also claims that she is offering a special for liposuction charging only a $1000.00 per area. But she had the audacity to charge me $9000.00 for six areas but claims she is giving me a deal. Dr. Subnani made a big mistake thinking I was a fool. And, she also was foolish to think that I would pay $9000.00 to her when she is NOT certified nor probably have the rights to even perform medical procedures in this state. In short, Dr. Subnani appears to be very nice. But most nice people puts a smile on their face and screw you in the end. Please people do your research and be very smart. Dr. Subnani was very helpful and knowledgeable about the issues I discussed with her. I have been going to her for years and have been very pleased with my experiences with her. I am very pleased I had a liposuction and was happy that I choose Dr. Madju Subnani staff was very pleasant. Fantastic Office and Love Dr. Subnani. Extremely personable Dr. This doctor is very good. I have been going to her for over a year now and have been very happy with the way she takes care of me. I came to Dr. Subnani for a Lipo treatment. She was very caring and comforting during the entire procedure, always asking me if I was feeling okay and making sure I wasn't too nervous or wasn't feeling any pain. The day of the procedure I went home and just kind of slept it off and by the next day I was feeling almost 100%. I ended up having really good results and decided to get my arms done as well. Her entire staff is extremely caring and treats you like family. This doctor is extremely nice and helpful. I have been going to her for years and she has taken care of me and my family very well. She cares greatly about your illness and makes sure to tend to whatever it is you need. I can call her at any time and she always answers. It seems like her patients are always her first priority. She is board certified in anti aging so she takes classes that keep her up to date on all kinds of new healing technologies. I have recently been on her hormone balancing program and have been feeling amazing ever since I started. The doctor is extremely friendly and her practice has more of a family feel as her husband is the office manager. She cares a lot about whether or not she is able to help her patients and worked with me until I was satisfied.",6,16,"Plastic / Cosmetic Surgeon, Physician", Female,23
Dr. Madhusudan Vallala,,Dr. Vallala is the best doctor I have ever had and he will always be my primary doctor!! I recommend Dr. Vallala to anyone and everyone looking for a great doctor!! My name is Raymond J. Baker Jr. and am very happy to say he is my primary doctor and always will be!!!,,1,Cardiologist, Male,1
Dr. Malathi Bathija,,"My son is getting shots with Dr. Bathija. After 1 year on shots, he is doing much better! Little league baseball in the spring in fun again for him. Dr. Bathija and her staff made me feel very comfortable during my visits by taking the time to listen to my concerns and explain in terms that I could understand. Dr Bathija is a wonderful physician who listens to all your concerns. She gives you the time and consideration you deserve. My son is getting shots with Dr. Bathija. After 1 year on shots, he is doing much better! Little league baseball in the spring in fun again for him. Dr. Bathija and her staff made me feel very comfortable during my visits by taking the time to listen to my concerns and explain in terms that I could understand. Dr Bathija is a wonderful physician who listens to all your concerns. She gives you the time and consideration you deserve.",,6,Allergist / Immunologist, Female,3
Dr. Mansoor G. Naini,"I am 38 year old female. When I went in I felt fine, but I was told my blood pressure was very high 180/120 (girl did it 4 times)She seemed frightened like I was having a heart attack went to get ekg machine, It was abnormal. She then ran to get doctor Naini. Doctor then scheduled me for a stress test. Then went back for results, my appointment was at 11 at 1:30 I finally had a fit and seen the doc in his office and was told I didn't actually have an appointment and they were squeezing me in. Not true as I had an appointment card filled out by the secretary. Then I say what about my abnormal ekg? He said who told you you had an abnormal ekg and I said YOU DID!!! And on top of that he sent a ""normal report"" of the whole office visit to my primary doctor not once mentioning the high blood pressure nor the abnormal ekg. Scary! Yes he is ""very nice"", yet has a heavy dialect and is hard to understand. Office girls were nice but stressed from the new computer system. I won't be going back! I am 38 year old female. When I went in I felt fine, but I was told my blood pressure was very high 180/120 (girl did it 4 times)She seemed frightened like I was having a heart attack went to get ekg machine, It was abnormal. She then ran to get doctor Naini. Doctor then scheduled me for a stress test. Then went back for results, my appointment was at 11 at 1:30 I finally had a fit and seen the doc in his office and was told I didn't actually have an appointment and they were squeezing me in. Not true as I had an appointment card filled out by the secretary. Then I say what about my abnormal ekg? He said who told you you had an abnormal ekg and I said YOU DID!!! And on top of that he sent a ""normal report"" of the whole office visit to my primary doctor not once mentioning the high blood pressure nor the abnormal ekg. Scary! Yes he is ""very nice"", yet has a heavy dialect and is hard to understand. Office girls were nice but stressed from the new computer system. I won't be going back!","Dr. Naini is a great combination of knowledge and care. He is what anyone would hope for in a doctor. Very knowledgeable, have been with him as a patient for 30 years. Goes out of his way to help, so does his staff. He's a great doctor and a wonderful human being. Dr. Naini is a great combination of knowledge and care. He is what anyone would hope for in a doctor. Very knowledgeable, have been with him as a patient for 30 years. Goes out of his way to help, so does his staff. He's a great doctor and a wonderful human being.",2,4,Cardiologist, Male,3
Dr. Mansour Miky,"He wrote my X-ray wrong and instead of simply changing it for Me with no vehicle, he insists I return to him, get new script and go to Bell, because HE and his big fat ego didn't want to deal with mgh! How about help your patients, not send them on wild goose chases, while in pain and with no vehicle and waste my days away! 

I would never ever reccomend him! 

Plus he packs people in, get em in, get em out, now! Ugh! Very unhelpful just wants to get you in and out as quickly as possible! My wife was immobilized due to severe back pain. (Pain of 10 on scale of 1 to 10)Dr. Miky gave her 2 injections since and prescribed pain medications to attack the pain from 3 ways. This has made the difference between night and day for her. If she does not overdo standing or walking, it keeps the pain in check. He wrote my X-ray wrong and instead of simply changing it for Me with no vehicle, he insists I return to him, get new script and go to Bell, because HE and his big fat ego didn't want to deal with mgh! How about help your patients, not send them on wild goose chases, while in pain and with no vehicle and waste my days away! 

I would never ever reccomend him! 

Plus he packs people in, get em in, get em out, now! Ugh! Very unhelpful just wants to get you in and out as quickly as possible! My wife was immobilized due to severe back pain. (Pain of 10 on scale of 1 to 10)Dr. Miky gave her 2 injections since and prescribed pain medications to attack the pain from 3 ways. This has made the difference between night and day for her. If she does not overdo standing or walking, it keeps the pain in check.","Best clinic I've ever had the privilege to visit. Very well organized staff; With remarkable experience to deal with the crazy insurance interaction involved in heath care. Doctor Mansour A Milky MD is a amazing and rare example of a hometown doctor attitude. Finally a doctor that works on a medical problem WITH you. Very easy to tell everyone at this clinic wants to help. legalized drug dealer accepts cash only if you need pills he's your man if you need help with your condition go elsewhere!!!!! For a Dr., this guy has little help, and DOES NOT LISTEN TO PATIENT! Wants to get you in and out asap! Not a helpful DR. Every time I had an appointment I was kept waiting from 45 minutes to an hour and a half just to get into an exam room, only to wait some more and have a short, rushed visit by the doctor. I felt as if I was taking up too much time if I had any additional questions or concerns. I also overheard rude comments made about other patients and even the office staff by the doctor behind their back. It made me wonder what was being said about me once I left. In the grand scheme of things, any doctor can write prescriptions, and the prescriptions I received DID moderately help my pain. But if you are looking for a genuine and caring doctor, look elsewhere. Best clinic I've ever had the privilege to visit. Very well organized staff; With remarkable experience to deal with the crazy insurance interaction involved in heath care. Doctor Mansour A Milky MD is a amazing and rare example of a hometown doctor attitude. Finally a doctor that works on a medical problem WITH you. Very easy to tell everyone at this clinic wants to help. legalized drug dealer accepts cash only if you need pills he's your man if you need help with your condition go elsewhere!!!!! For a Dr., this guy has little help, and DOES NOT LISTEN TO PATIENT! Wants to get you in and out asap! Not a helpful DR. Every time I had an appointment I was kept waiting from 45 minutes to an hour and a half just to get into an exam room, only to wait some more and have a short, rushed visit by the doctor. I felt as if I was taking up too much time if I had any additional questions or concerns. I also overheard rude comments made about other patients and even the office staff by the doctor behind their back. It made me wonder what was being said about me once I left. In the grand scheme of things, any doctor can write prescriptions, and the prescriptions I received DID moderately help my pain. But if you are looking for a genuine and caring doctor, look elsewhere.",6,8,Pain Management Specialist / Physical Therapist, Male,7
Dr. Marek Piekos,"terrible clinic.......................................... Terrible service. Margaret is unorganized, thoughtless and inadequate nurse for this position.
Be careful with insurance stuff, they are irresponsible!!! Keep an eye on your money.
So, my advice is go to others better clinics !
Advanced Fertility Center of Chicago
The Advanced IVF Institute, etc.","Very busy office, however the staff and Dr Piekos do take time to answer questions and listen to your concerns. My casual conversation lead to the realization that I had other medical issues to address.",2,1,Reproductive Endocrinologist, Male,3
Dr. Mariano L. Orca,stongly suggest that you find a new doctor stongly suggest that you find a new doctor,Helpful doctor who knows and serves the community well. Helpful doctor who knows and serves the community well.,2,2,Urologist, Male,2
Dr. Mark E. Moran,I saw this Dr. for my 3-year-old foot problem. He was very upfront about everything and told me that her previous Dr. did a lot of unnecessary things.,"I'm a new patient, just had a consult. Already I'm impressed with Dr. Moran. My experience in the office was great. Professional, knowledgeable, etc. 
I was so pleased with my overall experience. The staff were caring and professional with my 7 year old. I felt like a real person to them, not just a patient. And the best part is, my son wasnt afraid! Dr. Moran was kind compassionate and diagnosed a tumor on my child's knee which 2 other doctors missed. He saved her life. I will never go to anyone else.",1,2,Orthopedic Surgeon, Male,3
Dr. Mary T. Mcandrews,"Beware! there is a reason this doctor jumps from location to location.

TERRIBLE experience with adjustment, timeliness and billing issues like so many others.

She needs to find a new career path, because this isn't it for her. Worst experience ever. Will never go back. Neck problems are much worse after getting ""adjustment"". Billing issues as well. The doctor seemed preoccupied with something and seemed more concerned with her own appearance. She missed most of my appointments. The times I did see her she seamed out of it, and because of that I now have more neck problems then when I first saw her. This business only wants to bill your insurance and get you out in 5 minutes. Bad business. Not personable. Only wants your money. Staff was polite & obviously uncomfortable telling me the doctor was going to be late, appointment had been scheduled for days with Dr. McAndrews & she showed up 45 minutes late smelling of smoke which I feel didn't fit with the basis of her practice. She shuffled me quickly to another doctor in her office but did speak with me briefly before I left assuring me I would see her on my next visit. She never showed to my next appointments so I stopped going. Ended up with major billing issue also, billing girl was always ""out of the office"" what I found out through my insurance company was that I had services submitted on days I didn't even have an appointment scheduled and for more visits then I ever made. Terrible business woman. Scheduled an appointment a week in advance - waited over an hour and then Dr. Mary just decided not to show up at all. He staff seemed confused and unsure of how to do anything or where the doctor even was. Would never recommend her to anyone! Rude & inconsiderate. Found another GREAT chiropractor in the area though!","I have been a patient of Dr mc Andrews for 7 years and she has helped me with multiple issues. I cannot stress enough how satisfying it is to find a chiropractor that is so knowledgeable in her profession. 

Her entire staff makes you feel welcomed and at home but above all else extremely efficient.

I cannot recommend her enough. If you like direct answers and a doctor that gathers all information before she suggests a remedy, then you've found your doctor. I've been to the Dr. McAndrew’s office multiple times for a variety of problems (shoulder, back pain and thumb) and have experienced significant pain relief with each visit. I love that the acupuncture is electric rather than with the old fashioned needles. 
I would recommend Dr. McAndrew to any person that is seeking immediate results and an honest support staff to help make the visits enjoyable.",7,2,Chiropractor, Female,11
